tweettextcleaned,sentiment
"Good morning! $SPX up 24, let's see if it can hold above 3500 can move back towards 3553 this week $TSLA earnings coming up on Wednesday, it's gapping up 7, if this can close above 450 it can run towards 460,470 by earnings Good luck everyone!",2
"Two-Day Risk-Free Trial To Sign Up - Visit - Login, Subscribe and Pay - If you are not satisfied, you will be fully refunded Are you ready To Trade With Insight? -- $AMZN $AMD $BA $BABA $SPCE $FB $AAPL $GOOGL $NFLX $ROKU $TSLA $SPX $SPY $DKNG $ZM",1
Learning how to find trades and execute them on your own is much more valuable than just following alerts. Surrounding yourself with like-minded individuals can help you stay focused on your goals and grow as a trader,2
$TSLA - Earnings Trade Idea - Oct 23 500C - bid/ask 6.85/6.90 Closed at 439.67 on Friday Reports earnings on Wednesday After Hours (45-50 Point move priced in) - $AMZN $AAPL $AMD $BA $BABA $FB $MSFT $ROKU $SPX $SPY $TDOC $COST $ZM $NVDA $BYND $SNAP $SQ $WMT $NFLX $SPCE,0
"$SNAP - Earnings Trade Idea - Oct 23 30C - bid/ask 0.92/0.95 Closed at 27.83 on Friday. Above 28.55 can test 29.75, 31.22 next ER Tuesday After Hours (3-4 Pt Move Priced In) - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $TDOC $COST $ZM $NVDA $BYND $SPCE $SQ",0
$DKNG - Swing Trade Idea - Nov 6 47C - bid/ask 3.00/3.30 Closed at 44.34 on Friday. DKNG needs to hold above 42.88 and close above 46 to set up for a move back towards 52.68 - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $NFLX $COST $ZM $NVDA $BYND $SPCE $SNAP,0
$CRWD - Trade Idea - Oct 23 160C Closed at 145.34 on Friday. Tested the 153 level last twice last week but failed to hold above. I would consider calls above 153 - $AMZN $AAPL $AMD $BA $BABA $FB $TSLA $MSFT $ROKU $SPX $SPY $SPCE $COST $ZM $NVDA $BYND,0
"Good afternoon everyone! If anyone has any chart requests, questions about trading/trading psychology, or about subscribing to the private twitter, please feel free to ask! Sign up $AAPL $SPY $AMZN $FB $TSLA $SPX $BA $NFLX $NVDA $GOOGL $ZM $BABA $NIO",1
"Managing your emotions is a key part of trading If you can't control your excitement, you can over-size your position If you can't resist FOMO, you can enter a trade at the wrong time If you can't handle a loss, youll end up revenge trading",0
Blindly following anyone will never get you the success you truly desire.. If you want to become a self-sufficient trader and learn to think for yourself.. is the service for you. Thank you Brando and John for giving me the tools to take control of my future,0
Love the analysis man... looks amazing...,1
Lets get it! Wave 3 should be fun...,1
You nailed it!,1
Looks amazing here!,2
Why would you bet your last dollars or retirement on ANY trade? All trades are just probabilities - you should never bet all your money on a single trade. Distributing capital among several trades to allow probability to take its course is the way to go.,1
"Expecting $50 on $PLTR by end of Month!! (&gt;100% Move) This is a highly conservative projection, ideal count is $300+ by October 2021. This is an very low risk, high reward setup! One of the best I've seen in a long time... Below is my EXACT trade plan I'll be taking on $PLTR.",2
Markets look strong today!! $SPX $ES_F Expecting upward momentum to continue through the week... Seeing a lot of potential at $AAPL at current levels; looking to enter long tomorrow (Attempt 2) Projection details and my EXACT trade plan are shown on the chart below,2
,1
"Appreciate the update trigger. I agree, next week will be pivotal...",1
Thanks man! I appreciate the kind words...,1
Love the count Zen! Should be interesting to see how things play out next week!,2
"Not sure if ""everyone"" is bearish at the moment. This week just seemed like a healthy pullback to me..",0
Thanks Trigger!! Should be interesting to see how next week unfolds!,2
That's what I'm thinking - should be interesting to see what happens,1
Not sure at the moment. Got stopped out thrice on $TSLA... taking a little break from it. Probably not the best idea to keep trying when I'm on a losing streak on that one. I'll give it a few weeks and take another look,0
Yup - $NQ_F should follow suit,1
Multi-year... maybe even a decade plus.. hard to say this early,0
Close below $3656 on $ES_F invalidates the count,0
This one is really good,2
Likely higher in my opinion,2
"$SPX $ES_F $QQQ $NQ_F Update on $SPX Projection for 2021; Everything is still going according to plan. As projected, we saw a slight pullback this week. If projection holds, we will see a strong rally in following weeks. Below is my in-depth analysis with levels &amp; notes...",2
"A beautiful Elliott Wave Setup on $JKS... Expecting a rally to $120+ within the next 2-3 months!! If $40 is broken, I will be cutting losses and moving on. My EXACT trade plan to play $JKS is shown on the chart below. Rare to find such clean a count...",2
Woah!! I love this one...,1
"$AAPL looks wonderful here... If current projection holds, $AAPL could see $175+ by Mid April! If we break below $125, the projection will be invalidated. My EXACT trade plan to capitalize on this opportunity is shown on the chart below. Have a Great Weekend Everyone!!",2
Amazing work as always Trigger!,1
"I mean you could also say that even a sighted squirrel goes home without a nut once in a while. Trading is just probabilities, and sometimes you just have back luck. No reason to overthink it.",0
"I dont think being stopped out twice is that big of a deal. Loses are inevitable, and 2 losers will never destroy your trading account if youre trading a reasonable size with good money management. Its all about probability and risk management. Sometimes you just get unlucky.",0
Trading is all about probabilities. Losing is just part of the game.,0
Hi,1
Seeing a lot of opportunities in the market at the moment... Will be going long on $TSLA tomorrow at market open! $TSLA should rally to $1000+ by mid March if current projection holds... My EXACT Trade plan to capitalize on this opportunity is shown below. Trade Safely!!,2
I wanted to specifically say thank you to a select few who stuck with me and have supported me since day 1.. Thank you all so much... You all are so important to me...,1
"Thank you all so much for 50k followers!! I'm so grateful for all your support &amp; I'm incredibly blessed to have such an amazing community! I sincerely want to show my gratitude. Please let me know how I repay back this wonderful community! Again, thank you all so much!!",1
,1
"I'm looking for $TSLA $1,000 as well!!",2
"Seeing an amazing setup on $DOYU... Expecting a rally to $30 by before June 2021!! Currently at $DOYU is at $17. If $14 breaks, I'll be cutting my losses and moving on (Stop Loss $14) My EXACT trade plan is shown on the chart below. Trade Safe and Have a Great Day!!",2
"Woah!! Amazing projection Blank!! Its inspiring to see how much effort you put into your analysis. We all really appreciate all the detail you include in your analysis... Youre definitely one of the most underrated Elliottions on twitter!! Also, Happy Birthday!!",1
Some phenomenal setups here... Great work as always Trigger,1
Another amazing opportunity on $JNJ... Expecting a rally to $176 by end of March 2021 if current projection holds! A break below $159.50 invalidates this projection. My EXACT Trade Plan to capitalize on this opportunity is shown below Trade Safe and Have a Great Weekend!,2
This whole wave up is the final 5th of the super cycle degree.,2
Leading diagonals can be 5-3-5-3-5 or 3-3-3-3-3. Whereas ending diagonals cant only be 3-3-3-3-3.,2
Thanks! It should be an interesting year...,2
Who said theyd go up forever...,2
Should be fun,1
"I like your count. I wanted to use it as my primary, but there was overlap between your sub micro wave 4 and wave 1 on $ES_F.",1
Super Cycle. The correction we get proceeding the top will be on par with that of 1929s Great Depression.,0
"The rule in impulses is that wave 3 cannot be the shortest. Although wave 5 is longer than wave 3, since wave 1 is shorter than wave 3. Wave 3 isnt the shortest. Therefore, it is a valid count.",0
The general market sentiment just wasnt bullish enough. I cant see us topping till we reach bullish exuberance.,0
"If we are truly ending a super cycle wave 3 sometime this year, it will have to end on a euphoric rally. An ending diagonal would be a wimpy way to end a 100 year bull market. Markets bottom on pessimism, grow on skepticism, mature on optimism, and top of euphoria.",0
"$SPX $ES_F $QQQ $NQ_F Expecting a Major Market top sometime in 2021; however, I suspect a parabolic rally prior to the top... Looking for $SPX to reach $5,000 by July 2021 - broader markets should follow suit. Below is my in-depth Elliott Wave analysis and notes...",2
"Second attempt on $TSLA.. Projection has been modified to account for new price data... If projection holds, $TSLA could see $1000+ within the next 2 weeks! My EXACT trade plan to capitalize on this opportunity is shown below. Also, $SPX &amp; $QQQ Update Coming Tomorrow!",2
,1
Looks amazing Staw Hat!!,1
Nope - still remaining a bullish bias at the moment...,2
No change in $ZM - current trade plan still intact...,2
Will do one soon!!,1
Will do one soon!!,1
Anything close to $51 is a good entry in my opinion. Ill likely just be going lol at market open tomorrow.,0
Will the my best to get one out soon!!,1
"Its an intraday break - if it gaps lower, the stop order is executed the following day at market open.",0
Thanks Paul!!,1
$64. My apologies for the typo.,1
End of wave 2 to end of wave 3,1
I will be entering long tomorrow at market open...,2
Love it! 100% agree! I still think its very likely we see more upside in the market over the coming weeks...,2
"Seeing an amazing opportunity on $UBER... If current projection holds true, $UBER could see $74 by mid March! A break below $47 invalidates this bullish projection... My EXACT trade plan to capitalize on this opportunity is shown below. Trade Safe and Have a Great Week!!",2
"Yes thats correct. Higher prices are still likely, we are currently just in the process of a deeper 4th wave.",2
Still bullish on markets. Will post update this weekend.,2
Will do one this weekend...,1
"Thats still my current view. Im thinking we see a market super cycle top sometime either in February or March of this year. Timing is tough - but we need to hit at least $4,000 on $SPX. I dont see us topping until that was happened.",0
Yeah. I think we definitely havent peaked on the indices. Will do an update later this weekend.,1
,1
Monday at market open,1
"When everyone gives up hope, thats when itll move...",0
Lets get it!!,1
Should be fun when it wakes up,1
Its possible. Time will tell. Lets see what happens.,1
Couldnt have said it better myself...,1
"Think it's finally time for this one to wake up.. Expecting a Rally on $AMZN to $4000+ by end of March 2021! If $3000 is taken out, then this projection is no longer valid.... Listed out a potential trade plan to capitalize on this opportunity below. Have a Great Weekend!",2
$AMD still looks bullish. Just dont see any low risk entry at the moment... so just watching it closely for an opportunity for a low risk entry.,2
Will try to do one this weekend...,1
Dont remember off the top of my head. Maybe 4 hour?,1
Yup. Im no longer in $PLTR. Took profits when we hit $40.,0
I always trade shares...,1
Yes - got stopped out,0
If we do... then I guess Ill get stopped out. I mean theres really no point worrying about it. Its just a probability game... losses are inevitable. The only trade you really lose on is the trade where you dont respect your stop loss.,0
Love it! Both $V AND $MA look amazing!!,2
"Took a while... but found another gem... If current projection holds, $V could trade ~$225 by before end of March! An intraday break of the $192 level invalidates this count.... My EXACT trade plan to capitalize on this trade is shown below. Trade Safe and Have a Great Day!",2
Thats correct.,1
Sold at $6.,0
Correct,1
Its only been a few days. Have the be patient...,1
"Unfortunately, yes - its now invalid.",1
Will try to look for some later this evening and throughout the weekend. There are tons of opportunities out there... just gotta find them..,2
Still holding $HD long...,2
"Yes Im completely out of $PLTR. I think it could definitely go higher, but as per my trade plan, my PT was realized, so I sold my position.",2
Sure. Will try to take a look at the indices this weekend.,1
"Got stopped out today morning. So, no - Im no longer in $TSLA.",0
Definitely has potential to go higher... but Im already out of my position. I dont think R/R is favorable at the moment to try to force a trade.,0
Thats awesome! Glad you made some money...,1
"Hey! Just wanted to do a quick position update $NOK 41% Profit in 3 Days $PLTR 48% Profit in 4 Days $AMD 8% Loss in 3 Days Also, wanted to emphasize the importance of risk control.. With hyped names like $GME and $AMC, it's easy to get emotional.. please be careful",1
"Still very much possible. In fact, I think its still likely.",1
"Yes - still confident in $ZM. Its only been 2 days. No reason to worry yet. Just remaining patient for now. Big money is made sitting and waiting, not trading.",2
"Unfortunately yes, we broke below the slop loss, so I took the loss on this one. No reason to overthink it - just bad luck. Cant win every trade. Just have to stay true to the plan and trust in the system.",0
40% in 3 day... truly insane!! Locked in profits today.,2
"Yup! Sold at $40 for a 50% profit in 4 days. Best to not get greedy. It definitely could go higher, but there are opportunities elsewhere, and its good practice to stay true to the original plan.",2
I love them both. Im in agreement with on $V and $MA.,2
We have not had a major market top in the past 6 month...,0
Yup. Just staying patient. Everything still looks good.,2
"Because my original plan when entering the stock was to exit at $170. If I didnt exit my position here, I would be breaking my original plan.",1
"Its a crazy short squeeze. But I dont like playing with stocks like that. The R/R just isnt favorable at these levels. And with so much hype around it, its tough to tell what will happen. Best to stay away in my opinion.",0
Congrats on the big win my friend!,1
Yes. Those are potential opportunities as well. Ill likely post another plan once we come into the late stages of wave 4.,1
Thanks man. I appreciate it!,1
Legendary!! Congrads on the big win!!,1
Price Target realized on $JNJ... The tough part now is to not get greedy and to take profits! 17% Profit in 37 Day is not shabby... I'll be exiting the position here and moving on Stay Safe and Have a Great Day Everyone!!,2
,1
"Most likely yes. Im saying March as a conservative time target. But ideally, Id hope for them to realize their price targets prior to the end of February along with the indices.",0
Defintely possible. I guess time will tell what happens.,1
A beautiful setup on $ZM... Expecting a rally to $600+ by end of March!! My EXACT trade plan is shown in the chart below... Trade Safely!! I have a feeling this is going to be a great week for all of us!!,2
"Find energy points intersections between geometric, price, and time tools. Geometric tools include Gann Fans, Fibonacci Arcs, Pitchforks, Channels. Price tools include Fibonacci retracements and extensions. And time tools include Fibonacci time extensions and lunar/astro cycles.",1
Thanks Paul!!,1
It's most likely a wave 3. I'm just remaining conservative and calling it a wave C.,0
That inverse head and shoulder looks amazing!!,1
Should be interesting to see what happens...,1
"A lot of untapped potential on $NOK.... If current projection holds, $NOK could see upwards of $6 by end of March! A break below $3.80 invalidates this count. I've structured my trade plan accordingly (shown on chart below) I hope you all have a great week... Trade Safe!!",2
"Sure... but if I tell you them, it wouldn't be fun",1
Love it!! $ADBE looks great! Great work as always Trigger...,2
"Thanks! It definitely could go higher, but Ive already taken profits. I think there are better opportunities to capitalize on.",2
Looks amazing Trigger!! Should be an interesting week...,1
"Yeah, I definitely do. I was extremely bearish early 2020 during the duration of the entire COVID-19 crash. But at the moment, the trend is upward, so only bullish setups for me. However, I suspect I will likely be doing a lot of bearish setups towards the later end of the 2021.",0
"Hey everyone! Hope you all are having a great weekend!! Wanted to share a long opportunity I'm seeing on $AMD... If projection holds true, $AMD could see ~$120 by early March I've shared more details of my trade plan on the chart below. Hope you all have a wonderful day!",2
Thanks Paul!! $TSLA should be interesting... lets see if we can get that pop next week...,2
I dont currently. But I can start doing so if you think it would bring value to others.,1
"Yup, exactly! Its the SAME exact fractal and price action, just on a lower time frame. Expecting a very similar outcome to last time. Next week should be interesting.",1
My apologies. Yes the reward/risk ratio should be 31. Thank you.,1
"Seeing a BIG opportunity on $TSLA here.... If the current projection holds, $TSLA could easily trade $1,000+ within the next 1-2 weeks!! I'm entering long on Monday at market open; my EXACT trade plan is shown on the chart below. Trade Safe and Have a Great Weekend!!",2
Its derived from fibonacci extensions based off specific pivots from the wave theory.,1
"$215 was broken. I was stopped out. Took the loss on this one. Losing is just part of the game. Theyre completely normal and to be expected. Anyway, now I just have more buying power for new opportunities...",0
Extremely bullish. Will try to get out a chart in the next week or so.,2
Yes. Im working on it at the moment. Projection will likely be ready sometime next month. Will keep you updated.,1
Hard to say this early. Will update once we get more price data.,1
Ill do an update when we get there... but it wont be pretty...,0
It wont be short term too. Itll definitely be a multi-year high. Itll likely be a depression on par with 1929.,0
No indicator. Just Elliott Wave Theory in application.,1
Its in accordance with count...,1
Time will tell.... should be interesting,1
Thanks Trigger!! Should be fun...,1
"Im expecting $SPX and $NDX to peak by the end of February. All other equities will likely follow suit. Prior to the peak, we will likely have a euphoric rally... this is when stocks like $PLTR will shine... Ill link the $SPX analysis below",2
"Yeah, its been painful to wait on this one. Ive been seeing the triangle for a while now too, but I didnt enter long till today because it just wasnt ready to breakout yet. But things look good now, so hopefully we breakout in the next few days.",0
$SPY will likely reach $400 at the same time all of these stocks reach their peak. Itll likely be a simultaneous top for all equities.,2
Since wave (e) can never break below the wave (c) pivot. And since wave (e) has the potential to not hit the bottom of the triangle before ending... Im just entering here with a stop loss at the wave (c) pivot... this is because I dont want to risk being left out of the rally,0
A truly phenomenal setup on $PLTR... Expecting a rally to $40+ by end of February!! My EXACT trade plan is shown in the chart below... Trade Safe and Expect more Trade Ideas soon - seeing A LOT of opportunities in the market at the moment!,2
Im still in $NVDA... we never traded below $492... so I was never stopped out,2
Looks like we are on track!!,1
Took a while... but patience pays,1
This looks amazing Trigger!! By far one of the CLEANEST setups Ive seen!! Beautiful alteration in complexity between wave 2 and 4... and the wave 4 triangle is a classic!! What an amazing setup!! No doubt in my mind that this is going to be a killer of a trade!!,1
Should be a fun day tomorrow...,1
Strong past few days - hopefully the we can maintain this momentum!,2
Yup! Same view here - loving for $COST looks right now...,2
Yeah... I have a ton of losing plays. But thats just part of trading. No reason to dwell on them...,1
Thanks Trigger! Always nice to get the validation by another Elliotition!,1
Same here! Unfortunately getting stopped out is part of the game... but this time around the count looks even more promising. Will be interesting to see what happens.,2
"Amazing setup on $REGN... If current projection holds, $REGN should trade $666+ by end of March A break below $467 invalidates this projection... My EXACT trade plan to capitalize on this opportunity is shown below Trade Safe and Have a Great Week!",1
Some wonderful setups here!! Great work as always Trigger!,1
"Great question!! At the moment, both are equally likely. Once we get more price data, we will have more clarity of which path has less resistance.",1
Love it Trigger!! 100% Agree!! These rules are pure gold...,1
Thanks Trigger!! Yeah a wave 2 pullback to $365 (golden zone) would be a gift from the market gods!! Lets hope we can get some sort of pullback soon...,2
Love it!! Seeing the same thing here... hopefully we can see some movement this week!!,1
"Walgreens Boots Alliance Q2 EPS $1.26 Beats $1.11 Estimate, Sales $32.80B Miss $35.53B Estimate",2
Goldman Sachs $GS to Start Offering Bitcoin and Other Cryptocurrencies in Q2 Report,2
transitory? Kimberly-Clark $KMB Announces Price Increases for North American Consumer Products Business,2
"Acuity Brands Q2 Adj. EPS $2.12 Beats $1.73 Estimate, Sales $776.60M Miss $776.99M Estimate",1
ADP Employment Change (Mar) 517K vs 550K Expected,0
"BlackBerry Q4 EPS $0.03, Inline, Sales $215.00M Miss $245.11M Estimate",0
"Cleveland-Cliffs Sees Q1 Adj. EBITDA $500M, Q2 Adj. EBITDA $1.2B, FY21 Adj. EBITDA $3.5B",1
"PVH Q4 EPS $(0.38) Misses $(0.34) Estimate, Sales $2.09B Miss $2.12B Estimate",0
"Porch Group Sees Q1 Sales $23M Vs $25.13M Estimates, FY21 Sales $170M-$175M Vs $170.65M Estimates",0
"Lululemon Athletica Sees FY21 EPS $6.30-$6.25 Vs. $4.58 Est., Sales $5.5B-$5.65B Vs. $4.33B Est.",2
"Lululemon Athletica Sees Q1 EPS $0.86-$0.90 Vs. $0.82 Est., Sales $1.1B-$1.3B Vs. $999.54M Est.",2
Porch Group Q4 Sales $19.50M Beat $18.92M Estimate,2
"Chewy Q4 Adj. EBITDA $60.8M, GAAP Net Income $21M, Sales $2.04B Beat $1.96B Estimate",2
That last minute candle in the $ES lol,1
TY Brian,1
$FUTU weekly up attempt,1
"Choppy, often rotational action continues to be the theme. Remember, we thought this might be the case until the QTR end. Now we have the Archegos Vol thrown in. Size right - trades are one in a series of many.",1
WHO chief says a mission to study the origins of the coronavirus in China didn't adequately analyze the possibility of a lab leak via,0
$RTY_F strong today - a change,2
,1
$VIPS Vipshop authorizes $500 mln share repurchase program over the 24-month period,2
CME Group to Launch Micro Bitcoin Futures on May One-Tenth the Size of One Bitcoin $CME,1
"$PYPL PayPal Holdings will announce later on Tuesday that it has started allowing U.S. consumers to use their cryptocurrency holdings to pay at millions of its online merchants globally, a move that could significantly boost use of digital assets in everyday commerce.",2
"CHART OF THE DAY The number of people flying from U.S. airports continues to climb. On Sunday, more than 1.57 million crossed a TSA checkpoint, the highest number since the pandemic started | OOTT",2
"Teng Yue, fund run by ex-Hwang analyst, denies liquidation - Bloomberg. Tell clients he sees buying opportunities",2
Im long from below 330 still so not sure just yet,2
$COST tricky spot right here if can clear 362 then new ATHs likely,2
"SPAC destruction lately isn't unusual considering that many of them had/have no substance, and even if they did, people piling in indiscriminately is a recipe for a major shakeout. Now maybe we can see if there are any shining lights to consider.",1
some large block trades pre open executed in $IQ $VIPS $GSX $VIAC $DISCK $FUTU $FTCH,1
Lets see how the flow is today as books continue to be cleared in the Archegos forced sell mess.,1
Southwest adds 100 firm orders for Boeing 737 MAX 7 - $BA,2
The Two Tiger Cubs at the Center of Fridays $35 Billion Meltdown | Institutional Investor,1
Yes,1
Tencent Music announces $1 billion share-buyback plan,2
If you bring up any narrative about politics on my threads-or stream instablock or perma mute. Keep your politics off my stream I have mine you have yours lets keep it that way.,1
Masks yes but greatly reduced,1
This weekend felt/looked the most back to normal since March last year in AZ.Just an observation.,1
earnings for the week $BB $MU $CHWY $LULU $BNTX $WBA $KNDI $IZEA $KMX $MKC $MTNB $CALM $OEG $ASO $FUV $PHR $MARK $BIOC $NCNO $FDS $PLAY $REED $RKDA $XSPA $HYRE $RMTI $CRMD $IMAB $QIWI $PVH $UNF $AYI $ANGO $APYX $CAAS $DARE $GES $SRAX $USIO $SPWH $TH,1
"A Korean top prop trader Bill Hwang was liquidated of his entire 15B position on over 80B gross notional exposure yesterday ... might be among the biggest liquidation in recent years for a Aisa prop shop Many of his position are Chinese big tech stock like TME, BIDU, VIPS etc",0
"Archegos Capital forced position liquidation contributes to Viacom, Discovery plunge",0
Re Above,1
Thanks!,1
Thanks!,1
Thanks!,1
Thanks! Rob,1
Thanks!,1
Thanks!,1
Thanks!,1
Thanks!,1
Congrats!,1
"Before I take off, look at the size of a few China names after-hours. Word earlier was a 60-Billion-dollar fund being unwound. Hence all the big blocks today - Unconfirmed just what I heard.",1
"Every day may not be a good day, but there is good in every day. Have a great weekend all!",0
what in the holy hell is he talking about?,1
wonderfully true,1
$ES_F $SPX - Mark new all-time closing highs,2
indeed,1
,1
$CVS quite a bit less boring,1
$SKLZ decent LT entry spot here after a monster haircut - stops have to be wide or don't even bother -,2
no interest for now took a small loss and left below 11,0
$COST improving more today,2
$RH what a beauty!,2
"$GME goes green on the week, unreal",2
UPDATE L Brands Raises Q1 EPS Guidance From $0.55-$0.65 To $0.85-$1 vs $0.62 Estimate,2
$TSLA Moody's Upgrades Tesla Rating To Ba3; Outlook Is Positive,2
I have these but it's really what suits you LG 34WN80C-B 34 inch 219 Curved UltraWide WQHD IPS,1
Fed Says Dividend And Buyback Limits To End June 30 For Most Banks,1
$DIS S&amp Revises Outlook On Walt Disney BBB+ Rating to Stable From Negative,0
wish I was that young again,1
"After testing a few different office chairs, I went with the Steelcase Gesture with headrest and extra lumbar support options. So far really like the feel.",1
"GrowGeneration Last Night Reported Q4 EPS $0.02 Misses $0.07 Estimate, Sales $62.00M Beat $60.89M Estimate GrowGeneration Sees FY 2021 Adj. EBITDA $48M-$51M; Sees Q1 2021 Revs $86M-$88M Vs $76.5M Est",1
"Progress Software Q1 EPS $0.95 Beats $0.75 Estimate, Sales $131.78M Beat $121.39M Estimate",2
"After a few days of pure stupidity (I knew better) along with a total lack of patience, back to Green &amp; grateful.",2
maybe yes,1
EXCLUSIVE-Robinhood aims to allow users to buy into IPOs,1
$SEAS impressive throughout this chop as it built a nice base - maybe it goes now,2
$MELI back on LT radar,0
$FISV holds very well thru this messy market,2
$SPX - hammers developing,2
we took h1 200 straight away no wait,2
$PDD = 10ema Monthly tag today,1
worked great for us also,1
we took Mar26 240C 2.07/2.08 this AM,2
well that was earlier that $BA now is + 186% after announcement,2
please fix this,1
No I wasnt you cant trade this name like $AAPL or $AMZN for example,1
$KOSS,1
quick buy $ES_F futures....,1
Thank god for GameStop LOL $GME,2
Credit Suisse Is Considering Paying Greensill Fund Investors To Compensate For Collapse,0
$ORCL nice RS today,2
$YM_F - 21sma Daily and retest of the previous breakout area,0
SEC Opens Inquiries Into SPAC Process Report,0
$BTCUSD following the path quite well so far note in can fade even deeper will watch the reaction BTC Bitcoin,1
"Momo Earlier Reported Q4 EPS $0.58 Beats $0.42 Estimate, Sales $581.64M Beat $563.03M Estimate",2
Skillz Sees Q1 2021 Revs $80M Vs $76.44M Est,2
Fidelity Looks To Launch ETF That Tracks The Price Of Bitcoin,1
"Jefferies Financial Group Q1 EPS $2.17 Up From $0.37 YoY, Sales $2.49B Up From $1.39B YoY",2
The market likes to put your balls in vice sometimes - that's when I like to scan for RS in names and Wish list names.,1
"H.B. Fuller Q1 Adj. EPS $0.66 Beats $0.47 Estimate, Sales $725.90M Beat $680.10M Estimate",2
"KB Home Q1 EPS $1.02 Beats $0.92 Estimate, Sales $1.14B Miss $1.21B Estimate",1
"RH Q4 Adj. EPS $5.07 Beats $4.76 Estimate, Sales $812.44M Beat $797.66M Estimate",2
"BREAKING As WH leaks details of its next spending blowout--$3 trillion for infrastructure--growing number of big investors believe the will soon launch a ""yield-curve control"" operation to prevent gapping yields on 10 &amp; 30-year bonds. Story developing",0
Wondering if it's time to rally techs into QTR end from down here? $NQ_F $QQQ $COMP,1
$GM Doji H1 up,2
Violent rotations last 3-4 weeks intraday and from day 2 day. The only way to avoid the whiplash is 1. Longer-term plays (Weekly/Monthly) 2. Really short-term scalps and quick exits on any sign of trouble 3. Go for a walk and ignore completely and wait for QTR to end,0
$HON today also,1
$GME H1 200sma tag YOLO,1
$CVS looks strong today add that to my list of boring names,2
$CL_F nice bounce,2
$IQ easy come easy go - support here but not confidence inspiring,2
Durable Goods Orders MoM Feb. -1.1% Vs 0.8% Est,0
"General Mills Q3 Adj. EPS $0.82 Misses $0.84 Estimate, Sales $4.52B Beat $4.45B Estimate",1
"Winnebago Industries Q2 Adj. EPS $2.12 Beats $1.41 Estimate, Sales $839.89M Beat $805.23M Estimate",2
Thanks Moon,1
"Intel Says Expects To Exceed Previously Communicated Q1 2021 Non-GAAP Revs, EPS Guidance, Driven By Continued Strong Notebook Demand",2
Intel Sees FY 2021 Adj. Revenues $72B Vs $73.59 Est.,0
Intel Sees 2021 Adj. EPS $4.55,1
UPDATE Intel Announces Manufacturing Expansion Plans Starting With ~$20B Investment To Build 2 New Fabs In Arizona,2
"GameStop Q4 Comparable Store Sales Up 6.5%, E-Commerce Sales Up 175%",2
"GameStop Q4 Adj. EPS $1.34 Misses $1.35 Estimate, Sales $2.12B Miss $2.21B Estimate",0
$ES_F inside day believe or not,1
GameStop $GME earnings call is at maximum capacity into results.,0
PLBY Group Q4 Sales $46.3M Beat $35.84M Est.,2
"Adobe Q1 Adj. EPS $3.14 Beats $2.78 Estimate, Sales $3.91B Beat $3.76B Estimate",2
"UPDATE Adobe Raised FY21 Adj. EPS Guidance From ~$11.20 To ~$11.85 vs $11.26 Est., Raised FY21 Sales Guidance From ~$15.15B To ~$15.45B vs $15.2B Est.",2
"Adobe Sees Q2 Adj. EPS $2.81 vs $2.70 Est., Sales ~$3.72B vs $3.7B Est.; Sees FY21 Adj. EPS ~$11.85 vs $11.26 Est., Sales ~$15.45B vs $15.2B Est.",2
$TLT threatening Weekly up...,2
"think it's best to try them out. I tried a handful, and this was best for me may not be for you",1
Are the Bobbleheads done jawboning FED,0
always lol,1
GameStop Option Alert Fri $690 Calls at the Bid 391 $1.7 vs 11709 OI; Ref=$181.69,1
$GOOGL $FB $NFLX and $AMZN resilient so far intraday,2
"Yes, I chose the Steelcase Gesture with headrest and extra lumbar support - not shipped yet, likely next week.",1
We donate so often who knows,1
$COST after some early pain back above avg.,0
the Futures $NQ_F is best way IMO,1
so buy $COMP into QTR end,2
$SP600 $RUT is where you can find the most damage today,2
$IQ - NH the move,1
"When the market becomes choppy and trendless, you either sit on your hands or trade smaller sizes be more selective... It isn't always a fat pitch situation, so try not to force it.",1
$BTCUSD - a fade back down towards 48-49K would be a decent reload area after above Target trims Bitcoin BTC cryptocurrency,0
$PG Monthly up and a flurry of call activity today,2
yep,1
$XLE back to reload area IMO,1
$NFLX potential big breakout attempt in progress,1
$GOOGL look more and more coiled on weekly,0
Netflix shares are trading higher after Argus Research upgraded the stock from Hold to Buy and announced a price target of $650 per share.,2
"Credit Suisse Maintains Outperform on 3M, Raises Price Target to $202",2
Lucid Says The High-End Version Of Its Air Sedan Is Already Sold Out,2
Lumentum Holdings Submits Revised Proposal to Acquire Coherent Consisting of $230/Share in Cash and 0.6724 of a Share of Lumentum Common Stock Per Coherent Share,1
"IHS Markit Q1 Adj. EPS $0.71 Beats $0.70 Estimate, Sales $1.12B Beat $1.11B Estimate",2
"KeyBanc Maintains Overweight on Box, Raises Price Target to $27",2
"Oracle Raises $15B Via Medium, Long-Term Debt",2
"Regeneron's Lower Dose Of COVID-19 Antibody Cocktail Cuts Hospitalization, Death By 70%",2
"Goldman Sachs Upgrades Sunrun to Buy, Announces $77 Price Target",2
"Morgan Stanley Maintains Overweight on Dollar General, Lowers Price Target to $225",0
Bilibili Raises $2.6B From Global Share Sale At $104 Per Share,1
,1
$MSFT MICROSOFT SAID TO DISCUSS BUYING DISCORD FOR MORE THAN $10B,2
$MO,1
